17,Donna Noble,LS,18.0,Uranidium,307.0,57.00,9.00,17499.000,2763.000,3647.16000,23909.16000
18,Neelix,WG,2.07,Conductive Bosocite,225.0,33.24,2.66,7479.000,598.500,167.2042500,8244.7042500
19,Doctor Who,RO,35.0,Flammable Xenonium,142.0,38.84,2.00,5515.280,284.000,2029.74800,7829.02800
20,Donna Noble,DB,12.05,Dysil,226.0,74.87,1.32,16920.620,298.320,2074.88227000000017218940,19293.82227000000017218940
21,Darth Vader,HR,37.0,Selenanium,145.0,21.00,8.00,3045.000,1160.000,1555.85000,5760.85000
22,Art3mis,IR,41.18,Solidified Berylline,348.0,13.58,5.69,4725.840,1980.120,2761.5143280,9467.4743280
23,William Riker,AA,-2.0,Metallus,101.0,38.59,7.00,3897.590,707.000,-92.09180,4512.49820
24,Miles O'Brien,CI,38.71,Flammable Evomite,278.0,52.00,8.00,14456.000,2224.000,6456.8280000,23136.8280000
25,Leonard McCoy,VS,0.0,Low-density Dynesium,204.0,82.41,4.87,16811.640,993.480,0.0000,17805.1200
26,Mazer Rackham,OS,31.0,Low-density Peron,276.0,61.86,0.00,17073.360,0.000,5292.74160,22366.10160
27,C-3PO,FH,19.0,Reticuloril,382.0,235.00,98.00,89770.000,37436.000,24169.14000,151375.14000
28,Ender Wiggin,FO,16.0,Opaque Osmesium,309.0,7.54,2.00,2329.860,618.000,471.65760,3419.51760
