97,Q,IC,30.06,Cryil,271.0,56.55,8.00,15325.050,2168.000,5258.4108300,22751.4608300
98,Doctor Who,TO,25.86,Stableized Adamogen,275.0,87.00,2.00,23925.000,550.000,6329.2350000,30804.2350000
99,Senator Palpatine,SR,13.0,Ossil,185.0,17.00,3.96,3145.000,732.600,504.08800,4381.68800
100,Jango Fett,SR,13.0,Metallesium,133.0,15.18,1.00,2018.940,133.000,279.75220,2431.69220
101,Jango Fett,CA,4.45,Reticuloril,207.0,99.64,0.70,20625.480,144.900,924.281910000000103851900,21694.661910000000103851900
102,Hugh of Borg,BF,3.0,Nonconductive Eurus,265.0,48.00,0.00,12720.000,0.000,381.60000,13101.60000
103,Martha Jones,CZ,-3.0,Osmonite,72.0,62.42,5.30,4494.240,381.600,-146.27520,4729.56480
104,Miles O'Brien,TO,25.86,Vanadus,267.0,75.00,7.00,20025.000,1869.000,5661.7884000,27555.7884000
105,Greedo,LM,4.26,Dynagen,70.0,41.00,8.95,2870.000,626.500,148.9509000,3645.4509000
106,Miles O'Brien,SO,35.83,Stableized Pyronite,236.0,64.00,8.00,15104.000,1888.000,6088.2336000,23080.2336000
107,William Riker,PM,4.0,Corbonium,229.0,50.00,7.00,11450.000,1603.000,522.12000,13575.12000
108,Darth Vader,IR,41.18,Sarconite,301.0,77.00,8.24,23177.000,2480.240,10565.6514320,36222.8914320
109,Pavel Chekov,WG,2.07,Terresium,226.0,73.56,9.92,16624.560,2241.920,390.5361360,19257.0161360
110,Samantha Carter,WA,-2.29,Charged Ectonium,267.0,48.00,4.47,12816.000,1193.490,-320.8173210,13688.6726790
111,Qui-Gon Jinn,WF,6.29,Primite,168.0,88.61,372.27,14886.480,62541.360,4870.2111360,82298.0511360
