112,Donna Noble,WE,1.0,Leptomite,263.0,83.00,5.50,21829.000,1446.500,232.75500,23508.25500
113,Boba Fett,WA,-2.29,Cyclonite,216.0,21.39,8.82,4620.240,1905.120,-149.4307440,6375.9292560
114,R2-D2,DO,17.2,Reticuloril,85.0,99.64,0.70,8469.400,59.500,1466.970800,9995.870800
115,Doctor Who,CR,17.0,Dysil,172.0,74.87,1.32,12877.640,227.040,2227.79560,15332.47560
116,Andy Weir,BO,16.21,Destresium,143.0,95.84,7.08,13705.120,1012.440,2385.71647600000029435120,17103.27647600000029435120
117,Darth Vader,SM,-4.0,Cosmonite,73.0,62.10,4.00,4533.300,292.000,-193.01200,4632.28800
118,Jango Fett,LM,4.26,Negative Monon,301.0,31.07,4.21,9352.070,1267.210,452.3813280,11071.6613280
119,Sarah Jane Smith,BS,27.0,Non-refractive Etherenium,176.0,15.83,0.00,2786.080,0.000,752.24160,3538.32160
120,Andy Weir,SR,13.0,Uranidium,227.0,57.00,9.00,12939.000,2043.000,1947.66000,16929.66000
121,Donna Noble,TF,24.63,Vanadus,170.0,75.00,7.00,12750.000,1190.000,3433.4220000,17373.4220000
122,Darth Vader,LS,18.0,Negative Hydrite,83.0,7.14,4.10,592.620,340.300,167.92560,1100.84560
123,Tuvok,TS,28.83,Aluminine,150.0,79.00,6.75,11850.000,1012.500,3708.2587500,16570.7587500
124,Obi-Wan Kenobi,GT,31.0,Sthenodium,343.0,87.39,2.33,29974.770,799.190,9539.92760,40313.88760
125,Senator Palpatine,SR,13.0,Gyril,134.0,0.05,5.00,6.700,670.000,87.97100,764.67100
126,Leonard McCoy,RO,35.0,Cesanium,189.0,69.66,9.50,13165.740,1795.500,5236.43400,20197.67400
127,Art3mis,RC,37.59,Ossenite,180.0,54.00,3.00,9720.000,540.000,3856.7340000,14116.7340000
128,K-9,WR,42.42,Stableized Bendezil,230.0,11.18,5.00,2571.400,1150.000,1578.6178800,5300.0178800
129,Clara Oswald,RK,19.0,Vanadus,134.0,10.90,8.00,1460.600,1072.000,481.19400,3013.79400
