147,Jack O'Neill,BS,27.0,Nonconductive Venererus,145.0,89.50,6.15,12977.500,891.750,3744.69750,17613.94750
148,Art3mis,CY,34.0,Non-flammable Lunaril,50.0,73.86,4.06,3693.000,203.000,1324.64000,5220.64000
149,Rory Williams,CC,33.0,Isomorphic Gelite,250.0,39.03,5.40,9757.500,1350.000,3665.47500,14772.97500
150,Doctor Who,LF,11.72,Isomorphic Gelite,158.0,84.78,8.00,13395.240,1264.000,1718.06292800000014659240,16377.30292800000014659240
151,Rory Williams,LB,23.0,Flammable Intracite,191.0,25.95,4.31,4956.450,823.210,1329.32180,7108.98180
152,Quark,CV,16.0,Non-refractive Etherenium,370.0,15.83,0.00,5857.100,0.000,937.13600,6794.23600
153,Darth Maul,RC,37.59,Gravidium,140.0,65.05,9.64,9107.000,1349.600,3930.6359400,14387.2359400
154,Jack O'Neill,SC,3.47,Vanadogen,126.0,89.62,5.40,11292.120,680.400,415.4464440,12387.9664440
155,Ender Wiggin,IR,41.18,Charged Ectonium,278.0,48.00,4.47,13344.000,1242.660,6006.7865880,20593.4465880
156,Wade Watts,CB,28.8,Non-refractive Etherenium,258.0,15.83,0.00,4084.140,0.000,1176.23232000000012252420,5260.37232000000012252420
157,Hugh of Borg,WA,-2.29,Common Dynacite,107.0,22.00,7.23,2354.000,773.610,-71.6222690,3055.9877310
158,Boba Fett,CO,18.36,Bromite,253.0,97.00,2.51,24541.000,635.030,4622.31910799999974823970,29798.34910799999974823970
159,BB-8,LB,23.0,Negative Monium,73.0,22.28,2.00,1626.440,146.000,407.66120,2180.10120
160,River Song,CM,2.0,Turbus,284.0,85.00,2.00,24140.000,568.000,494.16000,25202.16000
161,R2-D2,CZ,-3.0,Gaseous Venusil,318.0,19.90,9.00,6328.200,2862.000,-275.70600,8914.49400
162,Boba Fett,WR,42.42,Conductive Hadrine,75.0,32.00,5.00,2400.000,375.000,1177.1550000,3952.1550000
163,Geordi La Forge,MO,1.0,Positive Phorus,317.0,18.00,1.00,5706.000,317.000,60.23000,6083.23000
164,Odo,WG,2.07,Pachyogen,253.0,14.00,6.00,3542.000,1518.000,104.7420000,5164.7420000
165,Wade Watts,MM,1.0,Ultrasite,235.0,13.00,0.27,3055.000,63.450,31.18450,3149.63450
166,Jean-Luc Picard,SO,35.83,Hypogen,259.0,23.16,6.00,5998.440,1554.000,2706.0392520,10258.4792520
167,Geordi La Forge,MO,1.0,Refractive Imperil,172.0,18.56,8.93,3192.320,1535.960,47.28280,4775.56280
168,Obi-Wan Kenobi,WA,-2.29,Morphon,165.0,495.30,88.00,81724.500,14520.000,-2203.9990500,94040.5009500
169,Senator Palpatine,FA,11.0,Reticuloril,249.0,235.00,98.00,58515.000,24402.000,9120.87000,92037.87000
170,Jean-Luc Picard,WO,22.94,Hypogen,228.0,23.16,6.00,5280.480,1368.000,1525.16131200000013296960,8173.64131200000013296960
171,Tuvok,FM,44.0,Charged Acoustirus,285.0,21.27,5.01,6061.950,1427.850,3295.51200,10785.31200
172,Odo,WR,42.42,Primite,283.0,88.61,372.27,25076.630,105352.410,55327.9987680,185757.0387680
173,R2-D2,DM,-1.0,Exotic Magin,195.0,60.17,9.00,11733.150,1755.000,-134.88150,13353.26850
