174,B'Elanna Torres,WA,-2.29,Positive Covalon,272.0,1.18,9.00,320.960,2448.000,-63.4091840,2705.5508160
175,Boba Fett,LC,27.0,Chloril,176.0,82.66,5.09,14548.160,895.840,4169.88000,19613.88000
176,Q,CA,4.45,Heminium,160.0,80.00,0.94,12800.000,150.400,576.292800000000064752000,13526.692800000000064752000
177,Jack O'Neill,LS,18.0,Flammable Intracite,205.0,25.95,4.31,5319.750,883.550,1116.59400,7319.89400
178,K-9,SM,-4.0,Pachyogen,257.0,14.00,6.00,3598.000,1542.000,-205.60000,4934.40000
179,Wesley Crusher,WR,42.42,Refractive Sinistranium,333.0,43.00,2.00,14319.000,666.000,6356.6370000,21341.6370000
180,Pavel Chekov,LC,27.0,Ossil,208.0,17.00,3.96,3536.000,823.680,1177.11360,5536.79360
181,Senator Palpatine,FH,19.0,Cryil,73.0,56.55,8.00,4128.150,584.000,895.30850,5607.45850
182,Senator Palpatine,FS,18.05,Gaseous Mesorus,129.0,271.09,54.00,34970.610,6966.000,7569.5581050,49506.1681050
183,Miles O'Brien,CY,34.0,Common Dynacite,31.0,22.00,7.23,682.000,224.130,308.08420,1214.21420
